name,ra_deg,dec_deg,type,mag,notes
M53,198.230417,18.168167,Globular cluster,7.6,"Constellation: Coma Berenices. Distance: approx. 58,000 light-years. NGC 5024."
M54,283.76375,-30.479861,Globular cluster,7.6,"Constellation: Sagittarius. Distance: approx. 87,000 light-years. NGC 6715."
M69,277.84625,-32.348083,Globular cluster,7.6,"Constellation: Sagittarius. Distance: approx. 29,800 light-years. NGC 6637."
M79,81.044167,-24.52425,Globular cluster,7.7,"Constellation: Lepus. Distance: approx. 42,000 light-years. NGC 1904."
M9,259.799167,-18.51625,Globular cluster,7.7,Constellation: Ophiuchus. NGC 6333.
M68,189.866667,-26.744056,Globular cluster,7.8,"Constellation: Hydra. Distance: approx. 33,000 light-years. NGC 4590."
M107,248.132917,-13.053778,Globular cluster,7.9,"Constellation: Ophiuchus. Distance: approx. 20,600 light-years. Crucifix Cluster NGC 6171."
M70,280.803333,-32.292111,Globular cluster,7.9,"Constellation: Sagittarius. Distance: approx. 29,200 light-years. NGC 6681."
M71,298.44375,18.779194,Globular cluster,8.2,"Constellation: Sagitta. Distance: approx. 13,000 light-years. Angelfish Cluster NGC 6838."
M56,289.148333,30.183472,Globular cluster,8.3,"Constellation: Lyra. Distance: approx. 32,600 light-years. NGC 6779."
M75,301.52,-21.921167,Globular cluster,8.5,"Constellation: Sagittarius. Distance: approx. 67,900 light-years. NGC 6864."
NGC 6934,308.547,7.404,Globular cluster,8.8,Delphinus.
NGC 5466,211.363,28.534,Globular cluster,9.1,High latitude.
M72,313.365417,-12.537306,Globular cluster,9.3,"Constellation: Aquarius. Distance: approx. 54,000 light-years. NGC 6981."
NGC 6229,251.744,47.528,Globular cluster,9.4,Hercules.
NGC 2419,114.535,38.881,Globular cluster,10.3,Intergalactic Wanderer.
NGC 7006,315.372,16.187,Globular cluster,10.6,Delphinus.
M42,83.822083,-5.391111,H II region nebula,4,"Popular name: Orion Nebula. Constellation: Orion. Distance: approx. 1,344 light-years. Fact: Nearest massive star-forming region; Trapezium stars at core. Great Orion Nebula NGC 1976."
M43,83.9,-5.266667,H II region nebula,9,"Constellation: Orion. Distance: approx. 1,344 light-years. De Mairan's Nebula NGC 1982."
M86,186.54875,12.946111,Lenticular galaxy,8.9,Constellation: Virgo. Distance: approx. 52 million light-years. NGC 4406.
M84,186.265417,12.886944,Lenticular galaxy,9.1,Constellation: Virgo. Distance: approx. 60 million light-years. NGC 4374.
M85,186.35,18.191111,Lenticular galaxy,9.1,Constellation: Coma Berenices. Distance: approx. 60 million light-years. NGC 4382.
M102,226.622917,55.763333,Lenticular galaxy,9.9,Constellation: Draco. Distance: approx. 50 million light-years. Spindle Galaxy NGC 5866.
M24 (Small Sag. Star Cloud),274.25,-18.483,Milky Way star cloud,4.6,Rich star field; sweep with wide-field eyepiece.
Epsilon Lyrae (Double Double),281.084775,39.670126,Multiple star,5,Constellation: Lyra. Near Vega; requires small telescope to split.
Melotte 20 (Alpha Persei Cluster),50.25,48.5667,Open cluster,1.2,Huge naked-eye cluster.
M45,56.85,24.116667,Open cluster,1.6,"Popular name: Pleiades. Constellation: Taurus. Distance: approx. 444 light-years. Fact: Seven Sisters; blue reflection nebulosity in images. Pleiades, Seven Sisters or Subaru."
Melotte 111 (Coma Berenices Cluster),185,26,Open cluster,1.8,"Large nearby open cluster, visible to naked eye."
M7,268.463333,-34.792778,Open cluster,3.3,"Constellation: Scorpius. Large, rich cluster in Scorpius; superb in binoculars."
M44,130.1,19.983333,Open cluster,3.7,Popular name: Beehive Cluster. Constellation: Cancer. Distance: approx. 610 light-years. Fact: Praesepe/ Bee hive; naked-eye glow resolved into dozens of stars. Beehive Cluster or Praesepe NGC 2632.
NGC 2264,100.255,9.896,Open cluster,3.9,Christmas Tree Cone region.
IC 4665,266.6,5.7,Open cluster,4.2,"Constellation: Ophiuchus. Distance: approx. 1,400 light-years. Fact: Loose young open cluster; excellent binocular target. Large, sparse cluster in Ophiuchus, visible in binoculars."
M6,265.025,-32.216667,Open cluster,4.2,Constellation: Scorpius. Striking 'butterfly' shape; best in wide-field views.
NGC 869,34.78,57.147,Open cluster,4.3,Double Cluster component.
M47,114.15,-14.5,Open cluster,4.4,"Constellation: Puppis. Distance: approx. 1,600 light-years. NGC 2422."
NGC 884,34.8,57.117,Open cluster,4.4,Double Cluster component.
Stock 2,31.8,60.3,Open cluster,4.4,"Loose cluster near Double Cluster, aka 'Muscle Man'."
M41,101.5,-20.766667,Open cluster,4.5,"Constellation: Canis Major. Distance: approx. 2,300 light-years. Little Beehive Cluster NGC 2287."
M25,277.9,-19.25,Open cluster,4.6,"Constellation: Sagittarius. Distance: approx. 2,000 light-years. IC 4725."
M39,322.925,48.433333,Open cluster,4.6,Constellation: Cygnus. Distance: approx. 825 light-years. Pyramid Cluster NGC 7092.
M35,92.275,24.35,Open cluster,5.3,"Constellation: Gemini. Distance: approx. 2,900 light-years. Shoe-Buckle Cluster NGC 2168."
M23,269.2,-19.016667,Open cluster,5.5,"Constellation: Sagittarius. Distance: approx. 4,200 light-years. NGC 6494."
M34,40.525,42.766667,Open cluster,5.5,"Constellation: Perseus. Distance: approx. 1,500 light-years. Spiral Cluster NGC 1039."
M48,123.425,-5.75,Open cluster,5.5,"Constellation: Hydra. Distance: approx. 1,500 light-years. NGC 2548."
NGC 752,29.287,37.789,Open Cluster,5.7,Sprawling cluster in Andromeda.
M11,282.775,-6.266667,Open cluster,5.8,"Popular name: Wild Duck Cluster. Constellation: Scutum. Distance: approx. 6,200 light-years. Fact: One of the richest open clusters; triangular Wild Duck pattern. Wild Duck Cluster NGC 6705."
M50,105.8,-8.333333,Open cluster,5.9,"Constellation: Monoceros. Distance: approx. 3,000 light-years. Heart-Shaped Cluster NGC 2323."
M46,115.45,-14.816667,Open cluster,6,"Constellation: Puppis. Distance: approx. 5,400 light-years. NGC 2437."
M93,116.15,-23.866667,Open cluster,6,"Constellation: Puppis. Distance: approx. 3,400 light-years. Critter Cluster NGC 2447."
NGC 2244,97.95,4.95,Open cluster,6,Constellation: Monoceros. In Rosette Nebula.
M67,132.825,11.816667,Open cluster,6.1,"Constellation: Cancer. Distance: approx. 2,700 light-years. King Cobra or Golden Eye Cluster NGC 2682."
M37,88.075,32.550556,Open cluster,6.2,"Constellation: Auriga. Distance: approx. 4,500 light-years. Salt and Pepper Cluster NGC 2099."
M36,84.05,34.134444,Open cluster,6.3,"Constellation: Auriga. Distance: approx. 4,300 light-years. Pinwheel Cluster NGC 1960."
NGC 457,19.863,58.303,Open cluster,6.4,Owl/ET Cluster.
M21,271.15,-22.5,Open cluster,6.5,Constellation: Scorpius. Webb's Cross Cluster NGC 6531.
NGC 7789,359.287,56.734,Open cluster,6.7,Caroline's Rose.
M29,305.983333,38.523333,Open cluster,7.1,Constellation: Cygnus. Cooling Tower Cluster NGC 6913.
NGC 663,26.585,61.214,Open cluster,7.1,Perseus.
M52,351.05,61.583333,Open cluster,7.3,"Constellation: Cassiopeia. Distance: approx. 5,000 light-years. Scorpion Cluster NGC 7654."
M103,23.3,60.7,Open cluster,7.4,"Constellation: Cassiopeia. Distance: approx. 10,000 light-years. NGC 581."
M38,82.175,35.855,Open cluster,7.4,"Constellation: Auriga. Distance: approx. 4,200 light-years. Starfish Cluster NGC 1912."
M18,274.975,-17.133333,Open cluster,7.5,Constellation: Sagittarius. Black Swan Cluster NGC 6613.
M26,281.3,-9.4,Open cluster,8,"Constellation: Scutum. Distance: approx. 5,000 light-years. NGC 6694."
King 10,12.9,61.1,Open cluster,9,"Open cluster in Cassiopeia, faint but interesting."
M40,185.552083,58.083056,Optical double,8.4,Constellation: Ursa Major. Winnecke 4.
Centaurus A (NGC 5128),201.25,-43.017,Peculiar galaxy,6.8,Constellation: Centaurus. Dark lane bisects bright core.
M27,299.90125,22.721139,Planetary nebula,7.4,"Popular name: Dumbbell Nebula. Constellation: Vulpecula. Distance: approx. 1,360 light-years. Fact: Apple-core planetary nebula; responds to OIII filter. Dumbbell Nebula NGC 6853."
NGC 3242,156.19,-18.643,Planetary nebula,7.8,Ghost of Jupiter.
NGC 7009,316.045,-11.363,Planetary nebula,8,Saturn Nebula.
NGC 6543,269.639,66.633,Planetary nebula,8.1,Cat's Eye.
M57,283.39625,33.029167,Planetary nebula,8.8,"Popular name: Ring Nebula. Constellation: Lyra. Distance: approx. 2,300 light-years. Fact: Ring structure; central star detectable in large apertures. Ring Nebula NGC 6720."
NGC 6826,295.67,50.525,Planetary nebula,8.8,"Popular name: Blinking Planetary. Constellation: Cygnus. Distance: approx. 2,200 light-years. Fact: Blinking Planetary: central star causes nebula to ""blink"" with direct vs averted vision. Blinking."
NGC 2392,112.288,20.911,Planetary nebula,9.2,Eskimo.
IC 418,82.147,-12.701,Planetary nebula,9.3,"Popular name: Spirograph Nebula. Constellation: Lepus. Distance: approx. 3,600 light-years. Fact: ""Spirograph"" planetary nebula; intricate internal patterns in images. Spirograph."
M97,168.69875,55.019028,Planetary nebula,9.9,"Popular name: Owl Nebula. Constellation: Ursa Major. Distance: approx. 2,025 light-years. Fact: Owl-like voids; bright disk planetary nebula. Owl Nebula NGC 3587."
M76,25.6,51.575278,Planetary nebula,10.1,"Constellation: Perseus. Distance: approx. 2,500 light-years. Little Dumbbell Nebula NGC 650, NGC 651."
IC 2149,92.259,46.113,Planetary nebula,10.6,"Constellation: Auriga. Distance: approx. 3,600 light-years. Fact: Compact planetary nebula with high surface brightness. Auriga."
IC 418 (Spirograph Nebula),82,-12.6,Planetary nebula,10.7,"Constellation: Lepus. Compact PN in Lepus, bright with filters."
NGC 40,3.257,72.522,Planetary nebula,10.7,Bow-Tie.
NGC 7008,315.403,54.954,Planetary nebula,10.7,Fetus Nebula.
3C 273,187.2792,2.0525,Quasar,12.9,"Constellation: Virgo. Distance: approx. 2,400 million light-years. Fact: First quasar identified; jet visible in high-resolution images. Brightest quasar, historically important."
M31,10.684583,41.269167,Spiral galaxy,3.4,"Popular name: Andromeda Galaxy. Constellation: Andromeda. Distance: approx. 2,530,000 light-years. Fact: Nearest large spiral; spans several degrees; companions M32 & M110. Andromeda Galaxy NGC 224."
M33,23.458333,30.660194,Spiral galaxy,5.7,"Popular name: Triangulum Galaxy. Constellation: Triangulum. Distance: approx. 2,700,000 light-years. Fact: Face-on spiral; H II region NGC 604 is prominent. Triangulum/Pinwheel Galaxy NGC 598."
M81,148.888333,69.065278,Spiral galaxy,6.9,Constellation: Ursa Major. Distance: approx. 12 million light-years. Bode's Galaxy NGC 3031.
M101,210.8025,54.349167,Spiral galaxy,7.9,Popular name: Pinwheel Galaxy. Constellation: Ursa Major. Distance: approx. 21 million light-years. Fact: Grand-design spiral with sprawling arms. Pinwheel Galaxy NGC 5457.
M104,189.9975,-11.623056,Spiral galaxy,8,Popular name: Sombrero Galaxy. Constellation: Virgo. Distance: approx. 29 million light-years. Fact: Sombrero-like bulge and dust lane; rich globular system. Sombrero Galaxy NGC 4594.
M94,192.72125,41.120556,Spiral galaxy,8.2,Constellation: Canes Venatici. Distance: approx. 16 million light-years. Crocodile Eye or Cat's Eye Galaxy NGC 4736.
M106,184.739583,47.303889,Spiral galaxy,8.4,Constellation: Canes Venatici. Distance: approx. 24 million light-years. Fact: Seyfert spiral with anomalous arms. NGC 4258.
M51,202.469583,47.195278,Spiral galaxy,8.4,"Popular name: Whirlpool Galaxy. Constellation: Canes Venatici. Distance: approx. 23,500,000 light-years. Fact: Interacting spiral with NGC 5195; well-defined arms. Whirlpool Galaxy NGC 5194, NGC 5195."
M64,194.182083,21.682778,Spiral galaxy,8.5,"Popular name: Black Eye Galaxy. Constellation: Coma Berenices. Distance: approx. 17 million light-years. Fact: Dark ‚""black eye‚"" dust lane near core. Black Eye Galaxy NGC 4826."
M63,198.955417,42.029167,Spiral galaxy,8.6,Popular name: Sunflower Galaxy. Constellation: Canes Venatici. Distance: approx. 29 million light-years. Fact: Flocculent spiral texture. Sunflower Galaxy NGC 5055.
M66,170.0625,12.991667,Spiral galaxy,8.9,Constellation: Leo. Distance: approx. 36 million light-years. Fact: Asymmetric arms due to interaction; Leo Triplet member. Leo Triplet NGC 3627.
M77,40.669583,-0.013333,Spiral galaxy,8.9,Constellation: Cetus. Distance: approx. 47 million light-years. Cetus A or Squid Galaxy NGC 1068.
M96,161.690417,11.82,Spiral galaxy,9.2,Constellation: Leo. Distance: approx. 35 million light-years. NGC 3368.
M100,185.72875,15.8225,Spiral galaxy,9.3,Constellation: Coma Berenices. Distance: approx. 55 million light-years. Mirror Galaxy NGC 4321.
M74,24.174167,15.783611,Spiral galaxy,9.4,Constellation: Pisces. Distance: approx. 32 million light-years. Phantom Galaxy[91] NGC 628.
M90,189.2075,13.162778,Spiral galaxy,9.5,Constellation: Virgo. Distance: approx. 60 million light-years. NGC 4569.
M88,187.996667,14.420556,Spiral galaxy,9.6,Constellation: Coma Berenices. Distance: approx. 50 million light-years. NGC 4501.
M61,185.47875,4.473611,Spiral galaxy,9.7,Constellation: Virgo. Distance: approx. 52 million light-years. Swelling Spiral Galaxy NGC 4303.
M99,184.706667,14.416389,Spiral galaxy,9.9,Constellation: Coma Berenices. Distance: approx. 45 million light-years. St. Catherine's Wheel NGC 4254.
M98,183.45125,14.900472,Spiral galaxy,10.1,Constellation: Coma Berenices. Distance: approx. 44 million light-years. NGC 4192.
M82,148.9675,69.679722,Starburst galaxy,8.4,Constellation: Ursa Major. Distance: approx. 12 million light-years. Cigar Galaxy NGC 3034.
M1,83.632917,22.0145,Supernova remnant,8.4,"Popular name: Crab Nebula. Constellation: Taurus. Distance: approx. 6,500 light-years. Fact: Supernova remnant observed in 1054; contains the Crab Pulsar. Crab Nebula NGC 1952."
NGC 6960,309.392,30.731,Supernova remnant,5,"Popular name: Veil Nebula (W). Constellation: Cygnus. Distance: approx. 2,400 light-years. Fact: Western Veil filament (Witch's Broom) near 52 Cygni. Veil West (Witch's Broom)."
NGC 6992,314.0792,31.7428,Supernova remnant,6,"Popular name: Veil Nebula (E). Constellation: Cygnus. Distance: approx. 2,400 light-years. Fact: Eastern Veil; intricate filamentary supernova remnant. Veil East."
NGC 2024,85.425,-1.9833,Emission nebula,,"Constellation: Orion. Distance: approx. 1,375 light-years. Fact: Flame Nebula; bright emission with dark lanes near Alnitak. Flame Nebula near Alnitak."
IC 434/B33,85.25,-2.4333,Dark nebula,,"Constellation: Orion. Distance: approx. 1,375 light-years. Fact: Horsehead Nebula silhouette against emission from IC 434; near Alnitak. Horsehead Nebula (dark sky challenge)."
NGC 4755,193.425,-60.3667,Open cluster,4.2,"Popular name: Jewel Box. Constellation: Crux. Distance: approx. 6,400 light-years. Fact: Jewel Box; compact open cluster with vivid star colors near Beta Crucis. Jewel Box Cluster, colorful open cluster near Beta Crucis."
NGC 3293,158.9458,-58.2178,Open cluster,4.7,"Constellation: Carina. Distance: approx. 8,800 light-years. Fact: Young open cluster in Carina with red supergiants. Gem Cluster in Carina, compact young cluster."
NGC 3532,166.3875,-58.73,Open cluster,3,"Constellation: Carina. Distance: approx. 1,300 light-years. Fact: Wishing Well Cluster; extremely rich open cluster in Carina. Wishing Well Cluster, sprawling and rich open cluster."
NGC 6231,253.6,-41.8,Open cluster,2.6,"Constellation: Scorpius. Distance: approx. 5,900 light-years. Fact: Young open cluster at the core of the Sco OB1 association. Bright open cluster in Scorpius OB association."
NGC 104,6,-72.1,Globular cluster,4,"Popular name: 47 Tucanae. Constellation: Tucana. Distance: approx. 13,000 light-years. Fact: 47 Tucanae; bright southern globular with dense core. 47 Tucanae, second brightest globular after Omega Centauri."
NGC 6752,287.7,-59.9,Globular cluster,5.3,"Constellation: Pavo. Distance: approx. 13,000 light-years. Fact: Bright southern globular; easily resolved in medium apertures. Very bright southern globular cluster, rivals M13."
IC 2602,160.7,-64.4,Open cluster,1.9,"Popular name: Southern Pleiades. Constellation: Carina. Distance: approx. 480 light-years. Fact: Southern Pleiades; bright, wide open cluster near Œ∏ Carinae. Southern Pleiades in Carina."
